,0
X314,0.7083309796816645
X263,0.14615420174374988
X127,0.13382689504107084
X136,0.011437987216851646
X261,0.00019139427777294332
X0_az,4.311435430390106e-05
X328,1.5427684586402472e-05
X29,0.0
X232,0.0
X279,0.0
X76,0.0
X54,0.0
